reaction_id,field,manual_value,llm_value,official_post_type,official_post_topic,reaction_type,clean_text
6bfc8afc0dde956e,tema,DESEMPENHO_EM_CAMPO,COMUNICACAO_DO_CLUBE,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,REPLY,"@SaoPauloFC Meu sono melhorou, cabelo estava bom, pele mais leve fora o mental, era totalmente outro até ver esse Tweet. Terei que voltar a tomar paroxetina"
6bfc8afc0dde956e,intencao,MEME_PIADA,CRITICA,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,REPLY,"@SaoPauloFC Meu sono melhorou, cabelo estava bom, pele mais leve fora o mental, era totalmente outro até ver esse Tweet. Terei que voltar a tomar paroxetina"
6ff6971602527469,tema,ELENCO,DESEMPENHO_EM_CAMPO,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,QUOTE,imagina a maldição que não foi esse treino https://t.co/NQV2e04ayt
6ff6971602527469,intencao,MEME_PIADA,CRITICA,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,QUOTE,imagina a maldição que não foi esse treino https://t.co/NQV2e04ayt
7fb5ad44f36b2247,relevancia,POUCO_INFORMATIVO,RELEVANTE,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,REPLY,@SaoPauloFC 😥😥
7fb5ad44f36b2247,tema,OUTRO,DESEMPENHO_EM_CAMPO,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,REPLY,@SaoPauloFC 😥😥
7fb5ad44f36b2247,intencao,OUTRO,CRITICA,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,REPLY,@SaoPauloFC 😥😥
94b6a56826c71ce9,tema,DESEMPENHO_EM_CAMPO,CATEGORIA_BASE,ESCALACAO,CATEGORIA_BASE,QUOTE,"@WesleydeArajoG1 @SaoPauloFC Oito jogadores que já jogaram nos profissionais, obrigação ganhar e ganhar bem hoje! https://t.co/pIZ50ZKkDq"
94b6a56826c71ce9,emocao,ESPERANCA,FRUSTRACAO,ESCALACAO,CATEGORIA_BASE,QUOTE,"@WesleydeArajoG1 @SaoPauloFC Oito jogadores que já jogaram nos profissionais, obrigação ganhar e ganhar bem hoje! https://t.co/pIZ50ZKkDq"
94b6a56826c71ce9,polaridade,MISTO,NEGATIVO,ESCALACAO,CATEGORIA_BASE,QUOTE,"@WesleydeArajoG1 @SaoPauloFC Oito jogadores que já jogaram nos profissionais, obrigação ganhar e ganhar bem hoje! https://t.co/pIZ50ZKkDq"
9c606c66fb5ad832,tema,COMUNICACAO_DO_CLUBE,CATEGORIA_BASE,RESULTADO,CATEGORIA_BASE,QUOTE,Estava dormindo ou com vergonha? https://t.co/gVUB0NMyA1
9c606c66fb5ad832,emocao,IRONIA,FRUSTRACAO,RESULTADO,CATEGORIA_BASE,QUOTE,Estava dormindo ou com vergonha? https://t.co/gVUB0NMyA1
9d812f849c805229,tema,TECNICO,CATEGORIA_BASE,RESULTADO,CATEGORIA_BASE,REPLY,@SaoPauloFC Misericórdia até aí estamos sofrendo ..... #ForaJulioBatista
9d812f849c805229,intencao,COBRANCA,CRITICA,RESULTADO,CATEGORIA_BASE,REPLY,@SaoPauloFC Misericórdia até aí estamos sofrendo ..... #ForaJulioBatista
a8b7ed4e140d91f8,tema,ELENCO,CATEGORIA_BASE,ESCALACAO,CATEGORIA_BASE,QUOTE,Nicolas voltou da viagem até a Copa e será titular. Isac no banco. https://t.co/Frr3dWRNub
abd8ac459484500a,emocao,RAIVA,FRUSTRACAO,RESULTADO,CATEGORIA_BASE,QUOTE,"E assim Cotia vai sendo destruída aos poucos. Com gestões danosas ao clube, além de trazer técnicos com trabalhos muito duvidosos, o São Paulo perde para o lanterna do Brasileirão Sub 20, Juventude, por 1 a 0. https://t.co/zhN8rZqrLu"
b44d57b0edd16647,relevancia,POUCO_INFORMATIVO,RELEVANTE,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,QUOTE,MELHOR NÃO https://t.co/w16yM6NaSy
b44d57b0edd16647,tema,OUTRO,ELENCO,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,QUOTE,MELHOR NÃO https://t.co/w16yM6NaSy
b44d57b0edd16647,emocao,FRUSTRACAO,IRONIA,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,QUOTE,MELHOR NÃO https://t.co/w16yM6NaSy
c4331e3e53897974,relevancia,POUCO_INFORMATIVO,RELEVANTE,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,QUOTE,Eu não esqueci https://t.co/7pI8HEDOFD https://t.co/wvX3e1Er85
c4331e3e53897974,tema,OUTRO,DESEMPENHO_EM_CAMPO,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,QUOTE,Eu não esqueci https://t.co/7pI8HEDOFD https://t.co/wvX3e1Er85
c4331e3e53897974,emocao,DESCONFIANCA,FRUSTRACAO,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,QUOTE,Eu não esqueci https://t.co/7pI8HEDOFD https://t.co/wvX3e1Er85
c4331e3e53897974,intencao,COBRANCA,CRITICA,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,QUOTE,Eu não esqueci https://t.co/7pI8HEDOFD https://t.co/wvX3e1Er85
d2e65593c02c294a,relevancia,POUCO_INFORMATIVO,RELEVANTE,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,QUOTE,Só copa agora tá pai. Daqui uns 20 dias me atualiza doq tá acontecendo https://t.co/Refhkq23HJ
d2e65593c02c294a,tema,OUTRO,COMUNICACAO_DO_CLUBE,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,QUOTE,Só copa agora tá pai. Daqui uns 20 dias me atualiza doq tá acontecendo https://t.co/Refhkq23HJ
d2e65593c02c294a,emocao,NEUTRO,IRONIA,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,QUOTE,Só copa agora tá pai. Daqui uns 20 dias me atualiza doq tá acontecendo https://t.co/Refhkq23HJ
d2e65593c02c294a,polaridade,NEUTRO,NEGATIVO,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,QUOTE,Só copa agora tá pai. Daqui uns 20 dias me atualiza doq tá acontecendo https://t.co/Refhkq23HJ
d2e65593c02c294a,intencao,OUTRO,CRITICA,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,QUOTE,Só copa agora tá pai. Daqui uns 20 dias me atualiza doq tá acontecendo https://t.co/Refhkq23HJ
d4a031d62491855d,emocao,RAIVA,FRUSTRACAO,RESULTADO,CATEGORIA_BASE,REPLY,@SaoPauloFC Os dirigentes estão acabando com tudo mesmo.
e79f7b3f1353d8d4,relevancia,POUCO_INFORMATIVO,RELEVANTE,RESULTADO,CATEGORIA_BASE,QUOTE,Que bom! https://t.co/3WzKDXFmH2
e79f7b3f1353d8d4,tema,OUTRO,CATEGORIA_BASE,RESULTADO,CATEGORIA_BASE,QUOTE,Que bom! https://t.co/3WzKDXFmH2
e79f7b3f1353d8d4,emocao,IRONIA,ALEGRIA,RESULTADO,CATEGORIA_BASE,QUOTE,Que bom! https://t.co/3WzKDXFmH2
e79f7b3f1353d8d4,polaridade,MISTO,POSITIVO,RESULTADO,CATEGORIA_BASE,QUOTE,Que bom! https://t.co/3WzKDXFmH2
e79f7b3f1353d8d4,intencao,MEME_PIADA,ELOGIO,RESULTADO,CATEGORIA_BASE,QUOTE,Que bom! https://t.co/3WzKDXFmH2
f07bf7cb84585790,intencao,COBRANCA,CRITICA,RESULTADO,CATEGORIA_BASE,REPLY,@SaoPauloFC Alguém salva a base do SP
f75e1b7e1cfaa495,tema,CATEGORIA_BASE,DESEMPENHO_EM_CAMPO,RESULTADO,CATEGORIA_BASE,REPLY,"@SaoPauloFC Meu Deus, perdemos em casa, fora de casa, qualquer adversário. Que dureza..é Sub tudo, só derrota."
