reaction_id,manual_relevancia,llm_relevancia,match_relevancia,manual_tema,llm_tema,match_tema,manual_emocao,llm_emocao,match_emocao,manual_polaridade,llm_polaridade,match_polaridade,manual_intencao,llm_intencao,match_intencao
4d4e4d68d36c3d1b,RELEVANTE,RELEVANTE,TRUE,ELENCO,ELENCO,TRUE,IRONIA,IRONIA,TRUE,NEGATIVO,NEGATIVO,TRUE,PROVOCACAO,CRITICA,FALSE
4e45a77d1086b8b7,RELEVANTE,NAO_RELEVANTE,FALSE,DESEMPENHO_EM_CAMPO,OUTRO,FALSE,FRUSTRACAO,FRUSTRACAO,TRUE,NEGATIVO,NEGATIVO,TRUE,CRITICA,CRITICA,TRUE
68cb447542e494b2,RELEVANTE,RELEVANTE,TRUE,ELENCO,ELENCO,TRUE,IRONIA,CANSACO,FALSE,NEGATIVO,NEUTRO,FALSE,MEME_PIADA,APOIO,FALSE
6bfc8afc0dde956e,RELEVANTE,RELEVANTE,TRUE,DESEMPENHO_EM_CAMPO,COMUNICACAO_DO_CLUBE,FALSE,IRONIA,IRONIA,TRUE,NEGATIVO,NEGATIVO,TRUE,MEME_PIADA,MEME_PIADA,TRUE
6ff6971602527469,RELEVANTE,RELEVANTE,TRUE,ELENCO,DESEMPENHO_EM_CAMPO,FALSE,IRONIA,IRONIA,TRUE,NEGATIVO,NEGATIVO,TRUE,MEME_PIADA,CRITICA,FALSE
7fb5ad44f36b2247,POUCO_INFORMATIVO,NAO_RELEVANTE,FALSE,OUTRO,OUTRO,TRUE,FRUSTRACAO,FRUSTRACAO,TRUE,NEGATIVO,NEGATIVO,TRUE,OUTRO,OUTRO,TRUE
80dbb51bd9a7553c,RELEVANTE,RELEVANTE,TRUE,DESEMPENHO_EM_CAMPO,DESEMPENHO_EM_CAMPO,TRUE,FRUSTRACAO,FRUSTRACAO,TRUE,NEGATIVO,NEGATIVO,TRUE,CRITICA,CRITICA,TRUE
8105f42cfad58c93,RELEVANTE,RELEVANTE,TRUE,PRODUTO_OFICIAL,PRODUTO_OFICIAL,TRUE,RAIVA,RAIVA,TRUE,NEGATIVO,NEGATIVO,TRUE,CRITICA,CRITICA,TRUE
94b6a56826c71ce9,RELEVANTE,RELEVANTE,TRUE,DESEMPENHO_EM_CAMPO,CATEGORIA_BASE,FALSE,ESPERANCA,COBRANCA,FALSE,MISTO,POSITIVO,FALSE,COBRANCA,COBRANCA,TRUE
9c606c66fb5ad832,RELEVANTE,RELEVANTE,TRUE,COMUNICACAO_DO_CLUBE,CATEGORIA_BASE,FALSE,IRONIA,FRUSTRACAO,FALSE,NEGATIVO,NEGATIVO,TRUE,CRITICA,CRITICA,TRUE
9d812f849c805229,RELEVANTE,RELEVANTE,TRUE,TECNICO,TECNICO,TRUE,FRUSTRACAO,FRUSTRACAO,TRUE,NEGATIVO,NEGATIVO,TRUE,COBRANCA,CRITICA,FALSE
a8b7ed4e140d91f8,RELEVANTE,RELEVANTE,TRUE,ELENCO,CATEGORIA_BASE,FALSE,NEUTRO,NEUTRO,TRUE,NEUTRO,NEUTRO,TRUE,INFORMACAO,INFORMACAO,TRUE
abd8ac459484500a,RELEVANTE,RELEVANTE,TRUE,CATEGORIA_BASE,CATEGORIA_BASE,TRUE,RAIVA,FRUSTRACAO,FALSE,NEGATIVO,NEGATIVO,TRUE,CRITICA,CRITICA,TRUE
b44d57b0edd16647,POUCO_INFORMATIVO,RELEVANTE,FALSE,OUTRO,DESEMPENHO_EM_CAMPO,FALSE,FRUSTRACAO,DESCONFIANCA,FALSE,NEGATIVO,NEGATIVO,TRUE,CRITICA,CRITICA,TRUE
c4331e3e53897974,POUCO_INFORMATIVO,RELEVANTE,FALSE,OUTRO,DESEMPENHO_EM_CAMPO,FALSE,DESCONFIANCA,FRUSTRACAO,FALSE,NEGATIVO,NEGATIVO,TRUE,COBRANCA,CRITICA,FALSE
d2e65593c02c294a,POUCO_INFORMATIVO,RELEVANTE,FALSE,OUTRO,DESEMPENHO_EM_CAMPO,FALSE,NEUTRO,FRUSTRACAO,FALSE,NEUTRO,NEGATIVO,FALSE,OUTRO,IRONIA,FALSE
d4a031d62491855d,RELEVANTE,RELEVANTE,TRUE,DIRETORIA,DIRETORIA,TRUE,RAIVA,FRUSTRACAO,FALSE,NEGATIVO,NEGATIVO,TRUE,CRITICA,CRITICA,TRUE
e79f7b3f1353d8d4,POUCO_INFORMATIVO,RELEVANTE,FALSE,OUTRO,CATEGORIA_BASE,FALSE,IRONIA,IRONIA,TRUE,MISTO,NEGATIVO,FALSE,MEME_PIADA,CRITICA,FALSE
f07bf7cb84585790,RELEVANTE,RELEVANTE,TRUE,CATEGORIA_BASE,CATEGORIA_BASE,TRUE,FRUSTRACAO,FRUSTRACAO,TRUE,NEGATIVO,NEGATIVO,TRUE,COBRANCA,CRITICA,FALSE
f75e1b7e1cfaa495,RELEVANTE,RELEVANTE,TRUE,CATEGORIA_BASE,CATEGORIA_BASE,TRUE,FRUSTRACAO,FRUSTRACAO,TRUE,NEGATIVO,NEGATIVO,TRUE,CRITICA,CRITICA,TRUE
